NBN Atlas record ID,Occurrence ID,Licence,rightsHolder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Event Date,Day,Month,Year,End date,Locality,Grid reference,Latitude (WGS84),Longitude (WGS84),Coordinate Uncertainty (m),verbatimDepth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of Record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,Public resolution (m)
000698b7-1a33-4daa-9a65-911f90db3a8d,9177,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT81233949,55.648592,-2.299806,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT83,NT83E,NT8139,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
000bc406-b8b7-42b3-bd0d-4354bdc72c95,18087,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT83235616,55.798509,-2.269042,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT85,NT85I,NT8356,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
001a2500-69a1-43eb-b18a-5f024137f1c6,18290,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT83235616,55.798486,-2.268945,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT85,NT85I,NT8356,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
001f09cb-1928-426c-bab5-c21750353ecf,14506512,OGL,Scotland's Environment Web and Biological Records Centre,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,20/06/2020,20,6,2020,,Findlay Farm,NJ95521180,57.197015,-2.075693,7.1,,Michael Drummnond,,6,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,iRecord | SEWeb INNS,Invasive non-native species records from SEWeb,dr1364,Scotland's Environment Web,dp187,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NJ,NJ91,NJ91K,NJ9511,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00287331-23be-424d-b0e3-c44d87faf250,10621,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT85185622,55.799065,-2.237949,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT85,NT85N,NT8556,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
0028f7a0-79f5-4886-8b9e-143893d37cb9,8731,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT65132453,55.5133,-2.553579,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT62,NT62M,NT6524,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
002cd143-ed44-4700-bae7-609014cd52e5,13159,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT59182088,55.480089,-2.647356,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT52,NT52V,NT5920,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
002e548e-3d64-4a35-80a5-e6d6d35f361c,13032,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT59182088,55.480091,-2.647366,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT52,NT52V,NT5920,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
0030b7d7-f65b-4fbb-99de-e8cbdebfec9c,4287,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT93185181,55.759638,-2.110147,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT95,NT95F,NT9351,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
003145fe-384b-420f-a5de-92c2b2b8cbb3,4232,CC-BY,Tweed Forum,Heracleum mantegazzianum,Sommier & Levier,,Giant Hogweed,NBNSYS0000003711,species,PRESENT,01/05/2022,,5,2022,30/06/2022,,NT93185181,55.759638,-2.110147,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Giant hogweed controlled in 2022 as part of the Tweed Invasives Project,dr2748,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Apiales,Apiaceae,Heracleum,NT,NT95,NT95F,NT9351,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
