FID,local_authority,code,hectares
pub_las.1,Angus,S12000041,220244.68
pub_las.2,Clackmannanshire,S12000005,16391.19
pub_las.3,Dundee City,S12000042,6241.03
pub_las.4,East Ayrshire,S12000008,127034.56
pub_las.5,East Dunbartonshire,S12000045,17448.94
pub_las.6,East Renfrewshire,S12000011,17424.73
pub_las.7,Falkirk,S12000014,31493.22
pub_las.8,Glasgow City,S12000049,17635.76
pub_las.9,Inverclyde,S12000018,17361.5
pub_las.10,Midlothian,S12000019,35527.2
pub_las.11,North Lanarkshire,S12000050,47229.98
pub_las.12,Perth and Kinross,S12000048,542136.33
pub_las.13,Renfrewshire,S12000038,26924.1
pub_las.14,Scottish Borders,S12000026,474268.72
pub_las.15,South Lanarkshire,S12000029,177401.6
pub_las.16,Stirling,S12000030,225481.6
pub_las.17,West Dunbartonshire,S12000039,18277.46
pub_las.18,West Lothian,S12000040,43157.8
pub_las.19,Highland,S12000017,2647404.94
pub_las.20,Moray,S12000020,225763.49
pub_las.21,Orkney Islands,S12000023,108654.6
pub_las.22,Argyll and Bute,S12000035,716614.27
pub_las.23,Aberdeenshire,S12000034,633842.98
pub_las.24,Fife,S12000047,137242.81
pub_las.25,Aberdeen City,S12000033,20558.97
pub_las.26,City of Edinburgh,S12000036,27288.67
pub_las.27,East Lothian,S12000010,69948.16
pub_las.28,Shetland Islands,S12000027,165732.4
pub_las.29,North Ayrshire,S12000021,90387.45
pub_las.30,Dumfries and Galloway,S12000006,667525.68
pub_las.31,South Ayrshire,S12000028,123468.04
pub_las.32,Na h-Eileanan an Iar,S12000013,327034.79
