NBN Atlas record ID,Occurrence ID,Licence,rightsHolder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Event Date,Day,Month,Year,End date,Locality,Grid reference,Latitude (WGS84),Longitude (WGS84),Coordinate Uncertainty (m),verbatimDepth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of Record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,Public resolution (m)
00048bdb-4435-45a6-81bf-4d7c371c1fd3,2cd4p9h.1aaqam,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,10/09/1988,10,9,1988,,Inner Tay Estuary SSSI,NO207184,56.351727,-3.283957,70.7,,Perthshire Natural History Society,,,,,,,,,NO22/2/SC/Pt1 Central GR of survey,Accepted,HUMAN_OBSERVATION,Vascular plant data for Perthshire and Angus from SNH and BSBI,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO21,NO21E,NO2018,United Kingdom of Great Britain and Northern Ireland,Scotland,,
001f6cab-e457-4651-824f-3aa7d098249f,CI00001100002RP9,CC-BY,Scottish Wildlife Trust,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,29/07/2005,29,7,2005,,Spey Bay,NJ3484064420,57.664927,-3.093841,0.7,,Theo Loizou,NBN Record Cleaner,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,CI000011000000AS,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data,dr765,Scottish Wildlife Trust,dp2,SWT,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NJ,NJ36,NJ36M,NJ3464,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00382f30-fc20-44fd-9ccf-4b45e1527e31,CI0000420000UP7P,CC-BY-NC,North East Scotland Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,11/08/2004,11,8,2004,,,NJ8601,57.104266,-2.22448,707.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,CI000042000000IM,North East Scotland Invasive Non Native Plants,dr1425,North East Scotland Biological Records Centre,dp123,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NJ,NJ80,NJ80Q,NJ8601,United Kingdom of Great Britain and Northern Ireland,Scotland,,
003bcff2-859d-42ca-8983-c6186f2639d4,11728821,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,07/09/2019,7,9,2019,,,NO185201,56.3665,-3.32036,12,,"Giblin, Jenny",,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO12,NO12V,NO1820,United Kingdom of Great Britain and Northern Ireland,Scotland,,
003d7b2d-46c1-4cd2-8ea4-8e96f8e82f5d,CI00001100002RPM,CC-BY,Scottish Wildlife Trust,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,29/07/2005,29,7,2005,,Spey Bay,NJ3488064670,57.667178,-3.093238,0.7,,Theo Loizou,NBN Record Cleaner,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,CI000011000000AS,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data,dr765,Scottish Wildlife Trust,dp2,SWT,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NJ,NJ36,NJ36M,NJ3464,United Kingdom of Great Britain and Northern Ireland,Scotland,,
004c613a-25fb-48bd-9499-0e7917d143ca,2cd4p9h.x771h,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,18/07/1994,18,7,1994,,River Devon,NS863962,56.145363,-3.830775,70.7,,N.W. Taylor,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 records on disc via Trevor Dines,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NS,NS89,NS89T,NS8696,United Kingdom of Great Britain and Northern Ireland,Scotland,,
004d188b-b6d1-4044-8431-bcd94f7f344d,24935824,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,18/04/2022,18,4,2022,,Montfode Farm,NS226445,55.662086,-4.821713,11,,"Smart, Gill",,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,iRecord | App,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NS,NS24,NS24H,NS2244,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00609897-b328-4752-a718-abcc6c339b73,2548790,CC-BY-NC,Natural Apptitude and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,28/09/2015,28,9,2015,,,NO141184,56.35038,-3.39018,50,,"Pudsey, Carol",,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO11,NO11P,NO1418,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00a8f18b-8397-4e65-aabf-c6e368d80954,LC000251000045Y7,CC-BY-NC,Fife Nature Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,,,,1993,,,NO31K,56.28698,-3.051582,1414.2,,withheld,,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,,Fife Nature Records Centre Combined Dataset,dr840,Fife Nature Records Centre,dp162,Fife Nature Records Centre,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO31,NO31K,,United Kingdom of Great Britain and Northern Ireland,Scotland,not recorded,2000
00c16420-aa97-481f-8586-b4bdf65e50f2,CI0000420000VB9O,CC-BY-NC,North East Scotland Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,06/08/2004,6,8,2004,,,NJ9203,57.122371,-2.125498,707.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,CI000042000000IM,North East Scotland Invasive Non Native Plants,dr1425,North East Scotland Biological Records Centre,dp123,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NJ,NJ90,NJ90G,NJ9203,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00e133c8-1bfe-438e-a3d3-71780f18cee3,CI0000420000M99L,CC-BY-NC,North East Scotland Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,29/09/2007,29,9,2007,,,NK0833,57.391842,-1.86024,707.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,CI0000420000000S,North East Scotland Invasive Non Native Plants,dr1425,North East Scotland Biological Records Centre,dp123,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NK,NK03,NK03W,NK0833,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00ecb6c2-4f46-473d-ad27-3336f08ab38a,2cd4p9h.ayzp76,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,18/07/2009,18,7,2009,,"Dalmarnock, E of Springfield Road",NS6263,55.845051,-4.197591,707.1,,P. MacPherson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:bt3,Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NS,NS66,NS66G,NS6263,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0108160f-441e-4274-9cc6-b21874a9cf10,1064870,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,30/06/2014,30,6,2014,,,NO232451,56.59191,-3.25126,50,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO24,NO24H,NO2345,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0108c6e0-b369-4e6f-b361-10692e9748fe,2cd4p9h.b9qh8m,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,01/01/2010,,,2010,31/12/2013,VC93 North Aberdeenshire,NJ64,57.493859,-2.585549,7071.1,,David Welch,,,,,,,,,,Accepted,HUMAN_OBSERVATION,David Welch's Hectad Records,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NJ,NJ64,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01098029-e6e2-4402-b4f1-08c36ef42e3a,313980,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,26/06/2013,26,6,2013,,,NX971743,55.052741,-3.611449,50,,e0a7d4ef-d42f-0281-c43e-36075a8c4223,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NX,NX97,NX97S,NX9774,United Kingdom of Great Britain and Northern Ireland,Scotland,,
010ca6cd-921a-4f32-8af0-ff2292c3f008,1214865,CC-BY-NC,Natural Apptitude and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,25/07/2014,25,7,2014,,,NO242446,56.58804,-3.23516,50,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,PlantTracker data from 2012 onwards,dr1187,Natural Apptitude,dp178,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO24,NO24M,NO2444,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0111ba3b-10ba-45d8-a024-c1624682c972,2cd4p9h.8ybwh3,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,18/08/2012,18,8,2012,,Kiltearn (NH66),NH6165,57.658027,-4.3229,707.1,,B.R. Ballinger,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:5gw,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NH,NH66,NH66C,NH6165,United Kingdom of Great Britain and Northern Ireland,Scotland,,
012540d3-46a7-4708-bb4c-9fe6f5d7d9f6,2cd4p9h.1hb6c3,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,16/08/1995,16,8,1995,,VC73 Kirkcudbrightshire,NX4763,54.942779,-4.382291,707.1,,R.J. Pankhurst|O.M. Stewart,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 - updated records from December 1995 onwards,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NX,NX46,NX46R,NX4763,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01311678-fccf-4cce-b422-58bcf3ec1223,2cd4p9h.1vdkcs,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,01/01/1987,,,1987,31/12/1999,VC101 Kintyre,NR88,56.009573,-5.450402,7071.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 records on disc via Trevor Dines,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NR,NR88,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
013b4e8d-a9ab-4ae6-bb11-b9715772c7b9,38556999,CC-BY-NC,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,20/09/2024,20,9,2024,,Glenurquhart,NH52,57.332874,-4.446365,3200,,moev94,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,iNaturalist | UK and IOM data,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NH,NH52,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
014c5419-43ca-42fd-bf00-d1ddb611d5d5,2cd4p9h.wzq1a,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,03/08/1999,3,8,1999,,Portgower,NC91,58.111482,-3.783675,7071.1,,BSBI,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Atlas2000 records on disc via Trevor Dines,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NC,NC91,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01622c84-89b5-406a-a840-5334e845f76b,2cd4p9h.wz2rk,CC-BY-NC,BSBI,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,,,,1983,,VC87 West Perthshire,NS99,56.136121,-3.691132,7071.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Plants - a mixed set of records collated at BRC for the BSBI Atlas,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NS,NS99,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0166cee1-e5bb-4236-b62f-caf5acb3d1f7,22119847,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,28/09/2021,28,9,2021,,North of Langdale,NX07468085,55.084674,-5.018122,7.1,,Katharine Pinkerton,,4,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,iRecord | SEWeb INNS,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NX,NX08,NX08Q,NX0780,United Kingdom of Great Britain and Northern Ireland,Scotland,,
017c204b-d12a-454e-864e-c87362b3bfac,LC000251000020ZW,CC-BY-NC,Fife Nature Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,01/01/1972,,,1972,31/12/1982,,NO50K,56.199466,-2.72684,1414.2,,withheld,,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,,Fife Nature Records Centre Combined Dataset,dr840,Fife Nature Records Centre,dp162,Fife Nature Records Centre,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO50,NO50K,,United Kingdom of Great Britain and Northern Ireland,Scotland,not recorded,2000
019e0e97-a35c-45cf-b54d-1b7e3682be77,7980211,OGL,Scotland's Environment Web and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,16/09/2018,16,9,2018,,"river leven, dumbartonshire. From Alexandria to south of Renton",NS393768,55.957723,-4.574863,70.7,,Alan Kennedy,,,,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,iRecord | SEWeb INNS,Invasive non-native species records from SEWeb,dr1364,Scotland's Environment Web,dp187,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NS,NS37,NS37Y,NS3976,United Kingdom of Great Britain and Northern Ireland,Scotland,,
01b283cf-ceda-4732-b420-870a1f6bedeb,1380937,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Impatiens glandulifera,Royle,,Himalayan Balsam,NBNSYS0000003189,species,PRESENT,02/09/2014,2,9,2014,,,NO202401,56.54644,-3.29909,50,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,NO,NO24,NO24A,NO2040,United Kingdom of Great Britain and Northern Ireland,Scotland,,
