NBN Atlas record ID,Occurrence ID,Licence,rightsHolder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Event Date,Day,Month,Year,End date,Locality,Grid reference,Latitude (WGS84),Longitude (WGS84),Coordinate Uncertainty (m),verbatimDepth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of Record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,Public resolution (m)
0005628d-1f45-4895-8764-297391056c23,2cd4p9h.vz4wx,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,15/10/1978,15,10,1978,,"Garelochhead E, 1km sq",NS2491,56.083993,-4.822,707.1,,A.McG. Stirling|A. Rutherford,,,,,,,,,,Accepted,HUMAN_OBSERVATION,"Vascular plant data for Scottish vice-counties: v.cc. 79, 83, 91, 99 and  103",Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS29,NS29K,NS2491,United Kingdom of Great Britain and Northern Ireland,Scotland,,
003169e8-8b15-41e1-a4e9-d1fa66e9816f,2cd4p9h.vdkqh,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,21/05/1985,21,5,1985,,"Garshake woods, 1km sq",NS4176,55.955296,-4.540257,707.1,,A.McG. Stirling,,,,,,,,,,Accepted,HUMAN_OBSERVATION,"Vascular plant data for Scottish vice-counties: v.cc. 79, 83, 91, 99 and  103",Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS47,NS47D,NS4176,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0039dd09-2919-4f72-9c1c-bbab264c7245,2cd4p9h.f6bwb5,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,,,10,2015,,Meadow Plantation,NS3241,55.63811,-4.6627,707.1,,K.J. Watson,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:6v6,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS34,NS34F,NS3241,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00420e56-f808-4dc9-9423-972a5b75643d,20475139,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,23/05/2021,23,5,2021,,Kippford - Rockliffe,NX84065523,54.878389,-3.80849,7.1,,Jillian Rowand,,2,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,iRecord | SEWeb INNS,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NX,NX85,NX85M,NX8455,United Kingdom of Great Britain and Northern Ireland,Scotland,,
005f8d91-a4b8-41d9-9747-953f8ae37d5e,2cd4p9h.gtns0,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,24/08/1982,24,8,1982,,"Craigcrook Road, Edinburgh",NT2174,55.957081,-3.258846,707.1,,D.R. McKean,,,,,,,,,Waste ground,Accepted,HUMAN_OBSERVATION,"Vascular plant data for Scottish vice-counties: v.cc. 79, 83, 91, 99 and  103",Scottish SNH-funded BSBI records,dr654,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT27,NT27C,NT2174,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0066bf8c-1c09-4095-b1a7-f50b097ec825,938,CC-BY,Tweed Forum,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/07/2022,,7,2022,30/09/2022,,NT39541159,55.394584,-2.956084,7,,Tweed Forum staff,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,,Japanese knotweed controlled in 2022 as part of the Tweed Invasives Project,dr2754,Tweed Forum,dp270,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT31,NT31V,NT3911,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00726cb2-2989-4ffd-9886-304dd88ad212,1053803,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,27/06/2014,27,6,2014,,,NS726561,55.78156,-4.032053,50,,8fad6b4f-ac5f-7e6c-ada0-4dcddddbb132,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Nature Locator | Plant Tracker,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NS,NS75,NS75I,NS7256,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00755937-6e79-40cf-8a1f-f94ed4acbb60,2cd4p9h.wvvbz,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,01/01/1950,,,1950,31/12/1969,VC98 Argyllshire,NN01,56.287253,-5.152126,7071.1,,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,Plants - a mixed set of records collated at BRC for the BSBI Atlas,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NN,NN01,,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
007c63eb-24f3-489d-8894-e78a992b7222,2cd4p9h.2e3kq3,CC-BY-NC,BSBI,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,24/09/2009,24,9,2009,,Montrose Basin - northeast corner,NO75E,56.721768,-2.475454,1414.2,,B. Hogarth|P. Gaff,,,,,,,,,,Accepted,HUMAN_OBSERVATION,MapMateCentre:2vv,Other BSBI Scottish data up to 2018,dr655,Botanical Society of Britain & Ireland,dp91,BSBI,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NO,NO75,NO75E,,United Kingdom of Great Britain and Northern Ireland,Scotland,,
007ebc57-18f6-47b4-8419-124173e0d799,20379932,CC-BY,Botanical Society of Britain and Ireland and Biological Records Centre,Reynoutria japonica,Houtt.,,Japanese Knotweed,NHMSYS0000462335,species,PRESENT,06/05/2021,6,5,2021,,Gore Glen,NT33576142,55.841449,-3.062276,7.1,,Jazz,,,,,,,,,,Accepted - correct,HUMAN_OBSERVATION,iRecord | SEWeb INNS,Vascular plant records verified via iRecord,dr2177,Botanical Society of Britain & Ireland,dp91,,Plantae,,Magnoliopsida,Caryophyllales,Polygonaceae,Reynoutria,NT,NT36,NT36F,NT3361,United Kingdom of Great Britain and Northern Ireland,Scotland,,
